id,season,Team,DD2,TD3,DQ,EJECT,TECH,FLAG,AST_TO,STL_TO,RAT,SC_EFF,SH_EFF
3975,2009-10,GS,12,1,4,0,0,0,1.9,0.6,-,1.224,0.53
3975,2010-11,GS,5,0,2,0,0,0,1.9,0.5,-,1.304,0.55
3975,2011-12,GS,3,0,0,0,1,0,2.1,0.6,-,1.294,0.58
3975,2012-13,GS,15,0,2,0,3,0,2.2,0.5,-,1.287,0.55
3975,2013-14,GS,28,4,1,0,0,0,2.3,0.4,-,1.354,0.57
3975,2014-15,GS,23,0,0,0,2,0,2.5,0.7,-,1.417,0.59
3975,2015-16,GS,15,2,0,0,3,0,2.0,0.6,-,1.486,0.63
3975,2016-17,GS,9,0,1,0,4,0,2.2,0.6,-,1.385,0.58
3975,2017-18,GS,5,0,1,1,2,0,2.0,0.5,-,1.558,0.62
3975,2018-19,GS,3,0,0,0,2,0,1.9,0.5,-,1.404,0.6
3975,2019-20,GS,1,0,0,0,1,0,2.1,0.3,-,1.268,0.48
3975,2020-21,GS,8,0,0,0,1,0,1.7,0.4,-,1.476,0.61
3975,2021-22,GS,12,2,0,0,1,0,2.0,0.4,-,1.332,0.55
3975,2022-23,GS,12,1,0,1,5,0,2.0,0.3,-,1.455,0.61
1966,2003-04,CLE,12,0,0,0,2,0,1.7,0.5,-,1.109,0.44
1966,2004-05,CLE,25,4,1,0,4,0,2.2,0.7,-,1.292,0.5
1966,2005-06,CLE,21,5,0,0,0,0,2.0,0.5,-,1.359,0.51
1966,2006-07,CLE,16,1,1,0,2,2,1.9,0.5,-,1.315,0.51
1966,2007-08,CLE,31,7,1,0,2,0,2.1,0.5,-,1.37,0.52
1966,2008-09,CLE,29,7,0,0,10,0,2.4,0.6,-,1.428,0.53
1966,2009-10,CLE,31,4,0,0,4,0,2.5,0.5,-,1.478,0.54
1966,2010-11,MIA,31,4,0,0,7,0,2.0,0.4,-,1.422,0.54
1966,2011-12,MIA,23,0,0,0,3,0,1.8,0.5,-,1.44,0.55
1966,2012-13,MIA,36,4,0,0,6,1,2.4,0.6,-,1.504,0.6
1966,2013-14,MIA,12,1,1,0,5,1,1.8,0.4,-,1.544,0.61
1966,2014-15,CLE,22,2,0,0,5,1,1.9,0.4,-,1.363,0.53
1966,2015-16,CLE,28,3,0,0,4,0,2.1,0.4,-,1.356,0.55
1966,2016-17,CLE,42,13,2,0,4,0,2.1,0.3,-,1.454,0.59
1966,2017-18,CLE,52,18,0,1,5,0,2.2,0.3,-,1.425,0.59
1966,2018-19,LAL,32,8,0,0,0,0,2.3,0.4,-,1.374,0.56
1966,2019-20,LAL,46,13,0,0,2,0,2.6,0.3,-,1.303,0.55
1966,2020-21,LAL,18,5,0,0,2,1,2.1,0.3,-,1.368,0.58
1966,2021-22,LAL,21,6,0,1,1,2,1.8,0.4,-,1.388,0.59
1966,2022-23,LAL,18,2,0,0,1,0,2.1,0.3,-,1.304,0.55
3202,2007-08,SEA,1,0,0,0,0,0,0.8,0.3,-,1.189,0.45
3202,2008-09,OKC,15,0,0,0,1,0,0.9,0.4,-,1.346,0.51
3202,2009-10,OKC,25,0,1,0,3,0,0.9,0.4,-,1.482,0.51
3202,2010-11,OKC,14,0,1,0,3,0,1.0,0.4,-,1.405,0.51
3202,2011-12,OKC,18,0,0,0,5,0,0.9,0.4,-,1.426,0.55
3202,2012-13,OKC,19,3,1,1,12,1,1.3,0.4,-,1.591,0.56
3202,2013-14,OKC,27,3,0,0,16,0,1.6,0.4,-,1.536,0.56
3202,2014-15,OKC,5,0,0,0,4,1,1.5,0.3,-,1.469,0.58
3202,2015-16,OKC,27,1,1,0,8,0,1.4,0.3,-,1.469,0.57
3202,2016-17,GS,23,1,0,0,8,1,2.2,0.5,-,1.516,0.59
3202,2017-18,GS,15,2,0,5,14,0,1.8,0.2,-,1.466,0.59
3202,2018-19,GS,16,2,1,1,17,0,2.0,0.3,-,1.466,0.57
3202,2020-21,BKN,12,0,0,0,1,0,1.6,0.2,-,1.564,0.61
3202,2021-22,BKN,18,4,0,1,8,2,1.8,0.3,-,1.474,0.57
3202,2022-23,BKN,5,1,1,0,11,1,1.5,0.2,-,1.578,0.61
3202,2022-23,PHX,0,0,0,0,0,0,1.4,0.1,-,1.625,0.66
6580,2012-13,WSH,3,0,2,1,1,1,1.5,0.6,-,1.135,0.48
6580,2013-14,WSH,1,0,0,0,0,0,1.9,0.6,-,1.087,0.48
6580,2014-15,WSH,2,0,1,0,1,1,1.6,0.6,-,1.13,0.49
6580,2015-16,WSH,0,0,0,0,0,2,1.4,0.5,-,1.199,0.52
6580,2016-17,WSH,1,0,0,0,4,0,1.7,0.5,-,1.346,0.57
