id,name,rank,salary,url,team,position,ht_wt,birthdate,college,draft_info,status,experience,birthplace
3975,Stephen Curry,1,48070014.0,https://www.espn.com/nba/player/_/id/3975/stephen-curry,Golden State Warriors,Point Guard,"6' 2"", 185 lbs",3/14/1988 (35),Davidson,"2009: Rd 1, Pk 7 (GS)",Active,13th Season,"Akron, OH"
1966,LeBron James,2,44474988.0,https://www.espn.com/nba/player/_/id/1966/lebron-james,Los Angeles Lakers,Small Forward,"6' 9"", 250 lbs",12/30/1984 (38),,"2003: Rd 1, Pk 1 (CLE)",Active,19th Season,"Akron, OH"
3202,Kevin Durant,3,44119845.0,https://www.espn.com/nba/player/_/id/3202/kevin-durant,Phoenix Suns,Power Forward,"6' 10"", 240 lbs",9/29/1988 (34),Texas,"2007: Rd 1, Pk 2 (SEA)",Active,14th Season,"Suitland, MD"
6580,Bradley Beal,4,43279250.0,https://www.espn.com/nba/player/_/id/6580/bradley-beal,Phoenix Suns,Shooting Guard,"6' 4"", 207 lbs",6/28/1993 (30),Florida,"2012: Rd 1, Pk 3 (WSH)",Active,10th Season,"Saint Louis, MO"
6606,Damian Lillard,5,42492492.0,https://www.espn.com/nba/player/_/id/6606/damian-lillard,Portland Trail Blazers,Point Guard,"6' 2"", 195 lbs",7/15/1990 (32),Weber St,"2012: Rd 1, Pk 6 (POR)",Active,9th Season,"Oakland, CA"
3032977,Giannis Antetokounmpo,6,42492492.0,https://www.espn.com/nba/player/_/id/3032977/giannis-antetokounmpo,Milwaukee Bucks,Power Forward,"6' 11"", 243 lbs",12/6/1994 (28),,"2013: Rd 1, Pk 15 (MIL)",Active,9th Season,"Athens, Greece"
6450,Kawhi Leonard,7,42492492.0,https://www.espn.com/nba/player/_/id/6450/kawhi-leonard,LA Clippers,Small Forward,"6' 7"", 225 lbs",6/29/1991 (32),San Diego St,"2011: Rd 1, Pk 15 (IND)",Game Time Decision,10th Season,"Los Angeles, CA"
4251,Paul George,8,42492492.0,https://www.espn.com/nba/player/_/id/4251/paul-george,LA Clippers,Forward,"6' 8"", 220 lbs",5/2/1990 (33),Fresno St,"2010: Rd 1, Pk 10 (IND)",Game Time Decision,12th Season,"Palmdale, CA"
6475,Klay Thompson,9,40600080.0,https://www.espn.com/nba/player/_/id/6475/klay-thompson,Golden State Warriors,Shooting Guard,"6' 6"", 220 lbs",2/8/1990 (33),Washington St,"2011: Rd 1, Pk 11 (GS)",Active,9th Season,"Los Angeles, CA"
6442,Kyrie Irving,10,38917057.0,https://www.espn.com/nba/player/_/id/6442/kyrie-irving,Dallas Mavericks,Point Guard,"6' 2"", 195 lbs",3/23/1992 (31),Duke,"2011: Rd 1, Pk 1 (CLE)",Active,11th Season,"Melbourne, VIC"
3032976,Rudy Gobert,11,38172414.0,https://www.espn.com/nba/player/_/id/3032976/rudy-gobert,Minnesota Timberwolves,Center,"7' 1"", 258 lbs",6/26/1992 (31),,"2013: Rd 1, Pk 27 (DEN)",Active,9th Season,France
6583,Anthony Davis,12,37980720.0,https://www.espn.com/nba/player/_/id/6583/anthony-davis,Los Angeles Lakers,Power Forward,"6' 10"", 253 lbs",3/11/1993 (30),Kentucky,"2012: Rd 1, Pk 1 (NO)",Active,10th Season,"Chicago, IL"
6609,Khris Middleton,13,37948276.0,https://www.espn.com/nba/player/_/id/6609/khris-middleton,Milwaukee Bucks,Small Forward,"6' 7"", 222 lbs",8/12/1991 (31),Texas A&M,"2012: Rd 2, Pk 39 (DET)",Active,10th Season,"Charleston, SC"
