url,team,position,ht_wt,birthdate,college,draft_info,status,experience,birthplace
https://www.espn.com/nba/player/_/id/3975/stephen-curry,Golden State Warriors,Point Guard,"6' 2"", 185 lbs",3/14/1988 (35),Davidson,"2009: Rd 1, Pk 7 (GS)",Active,13th Season,"Akron, OH"
https://www.espn.com/nba/player/_/id/1966/lebron-james,Los Angeles Lakers,Small Forward,"6' 9"", 250 lbs",12/30/1984 (38),,"2003: Rd 1, Pk 1 (CLE)",Active,19th Season,"Akron, OH"
https://www.espn.com/nba/player/_/id/3202/kevin-durant,Phoenix Suns,Power Forward,"6' 10"", 240 lbs",9/29/1988 (34),Texas,"2007: Rd 1, Pk 2 (SEA)",Active,14th Season,"Suitland, MD"
https://www.espn.com/nba/player/_/id/6580/bradley-beal,Phoenix Suns,Shooting Guard,"6' 4"", 207 lbs",6/28/1993 (30),Florida,"2012: Rd 1, Pk 3 (WSH)",Active,10th Season,"Saint Louis, MO"
https://www.espn.com/nba/player/_/id/6606/damian-lillard,Portland Trail Blazers,Point Guard,"6' 2"", 195 lbs",7/15/1990 (32),Weber St,"2012: Rd 1, Pk 6 (POR)",Active,9th Season,"Oakland, CA"
https://www.espn.com/nba/player/_/id/3032977/giannis-antetokounmpo,Milwaukee Bucks,Power Forward,"6' 11"", 243 lbs",12/6/1994 (28),,"2013: Rd 1, Pk 15 (MIL)",Active,9th Season,"Athens, Greece"
https://www.espn.com/nba/player/_/id/6450/kawhi-leonard,LA Clippers,Small Forward,"6' 7"", 225 lbs",6/29/1991 (32),San Diego St,"2011: Rd 1, Pk 15 (IND)",Game Time Decision,10th Season,"Los Angeles, CA"
https://www.espn.com/nba/player/_/id/4251/paul-george,LA Clippers,Forward,"6' 8"", 220 lbs",5/2/1990 (33),Fresno St,"2010: Rd 1, Pk 10 (IND)",Game Time Decision,12th Season,"Palmdale, CA"
https://www.espn.com/nba/player/_/id/6475/klay-thompson,Golden State Warriors,Shooting Guard,"6' 6"", 220 lbs",2/8/1990 (33),Washington St,"2011: Rd 1, Pk 11 (GS)",Active,9th Season,"Los Angeles, CA"
https://www.espn.com/nba/player/_/id/6442/kyrie-irving,Dallas Mavericks,Point Guard,"6' 2"", 195 lbs",3/23/1992 (31),Duke,"2011: Rd 1, Pk 1 (CLE)",Active,11th Season,"Melbourne, VIC"
https://www.espn.com/nba/player/_/id/3032976/rudy-gobert,Minnesota Timberwolves,Center,"7' 1"", 258 lbs",6/26/1992 (31),,"2013: Rd 1, Pk 27 (DEN)",Active,9th Season,France
https://www.espn.com/nba/player/_/id/6583/anthony-davis,Los Angeles Lakers,Power Forward,"6' 10"", 253 lbs",3/11/1993 (30),Kentucky,"2012: Rd 1, Pk 1 (NO)",Active,10th Season,"Chicago, IL"
https://www.espn.com/nba/player/_/id/6609/khris-middleton,Milwaukee Bucks,Small Forward,"6' 7"", 222 lbs",8/12/1991 (31),Texas A&M,"2012: Rd 2, Pk 39 (DET)",Active,10th Season,"Charleston, SC"
https://www.espn.com/nba/player/_/id/6430/jimmy-butler,Miami Heat,Small Forward,"6' 7"", 230 lbs",9/14/1989 (33),Marquette,"2011: Rd 1, Pk 30 (CHI)",Active,11th Season,"Houston, TX"
https://www.espn.com/nba/player/_/id/6440/tobias-harris,Philadelphia 76ers,Power Forward,"6' 7"", 226 lbs",7/15/1992 (30),Tennessee,"2011: Rd 1, Pk 19 (CHA)",Active,11th Season,"Dix Hills, NY"
https://www.espn.com/nba/player/_/id/3064440/zach-lavine,Chicago Bulls,Shooting Guard,"6' 5"", 200 lbs",3/10/1995 (28),UCLA,"2014: Rd 1, Pk 13 (MIN)",Active,8th Season,"Seattle, WA"
https://www.espn.com/nba/player/_/id/3945274/luka-doncic,Dallas Mavericks,Point Guard,"6' 7"", 230 lbs",2/28/1999 (24),,"2018: Rd 1, Pk 3 (ATL)",Active,5th Season,"Ljubljana, Slovenia"
https://www.espn.com/nba/player/_/id/4277905/trae-young,Atlanta Hawks,Point Guard,"6' 1"", 164 lbs",9/19/1998 (24),Oklahoma,"2018: Rd 1, Pk 5 (DAL)",Active,4th Season,"Lubbock, TX"
https://www.espn.com/nba/player/_/id/3149673/pascal-siakam,Toronto Raptors,Power Forward,"6' 8"", 230 lbs",4/2/1994 (29),New Mexico St,"2016: Rd 1, Pk 27 (TOR)",Active,6th Season,"Douala, Cameroon"
https://www.espn.com/nba/player/_/id/3907387/ben-simmons,Brooklyn Nets,Point Guard,"6' 10"", 240 lbs",7/20/1996 (26),LSU,"2016: Rd 1, Pk 1 (PHI)",Game Time Decision,4th Season,"Melbourne, VIC"
https://www.espn.com/nba/player/_/id/3133628/myles-turner,Indiana Pacers,Center,"6' 11"", 250 lbs",3/24/1996 (27),Texas,"2015: Rd 1, Pk 11 (IND)",Active,7th Season,"Bedford, TX"
https://www.espn.com/nba/player/_/id/3136193/devin-booker,Phoenix Suns,Shooting Guard,"6' 5"", 206 lbs",10/30/1996 (26),Kentucky,"2015: Rd 1, Pk 13 (PHX)",Active,7th Season,"Grand Rapids, MI"
https://www.espn.com/nba/player/_/id/3136195/karl-anthony-towns,Minnesota Timberwolves,Center,"7' 0"", 248 lbs",11/15/1995 (27),Kentucky,"2015: Rd 1, Pk 1 (MIN)",Active,7th Season,"Edison, NJ"
https://www.espn.com/nba/player/_/id/3102531/kristaps-porzingis,Boston Celtics,Center,"7' 3"", 240 lbs",8/2/1995 (27),,"2015: Rd 1, Pk 4 (NY)",Active,6th Season,"Liepaja, Latvia"
https://www.espn.com/nba/player/_/id/3995/jrue-holiday,Milwaukee Bucks,Point Guard,"6' 4"", 205 lbs",6/12/1990 (33),UCLA,"2009: Rd 1, Pk 17 (PHI)",Active,13th Season,"Chatsworth, CA"
https://www.espn.com/nba/player/_/id/3059318/joel-embiid,Philadelphia 76ers,Center,"7' 0"", 280 lbs",3/16/1994 (29),Kansas,"2014: Rd 1, Pk 3 (PHI)",Active,6th Season,"Yaounde, Cameroon"
https://www.espn.com/nba/player/_/id/3059319/andrew-wiggins,Golden State Warriors,Small Forward,"6' 7"", 197 lbs",2/23/1995 (28),Kansas,"2014: Rd 1, Pk 1 (CLE)",Active,8th Season,"Thornhill, ON"
https://www.espn.com/nba/player/_/id/2490149/cj-mccollum,New Orleans Pelicans,Shooting Guard,"6' 3"", 190 lbs",9/19/1991 (31),Lehigh,"2013: Rd 1, Pk 10 (POR)",Game Time Decision,9th Season,"Canton, OH"
https://www.espn.com/nba/player/_/id/3112335/nikola-jokic,Denver Nuggets,Center,"6' 11"", 284 lbs",2/19/1995 (28),,"2014: Rd 2, Pk 41 (DEN)",Active,7th Season,"Sombor, Serbia"
