url,season,Team,DD2,TD3,DQ,EJECT,TECH,FLAG,AST_TO,STL_TO,RAT,SC_EFF,SH_EFF
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2009-10,GS,12,1,4,0,0,0,1.9,0.6,-,1.224,0.53
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2010-11,GS,5,0,2,0,0,0,1.9,0.5,-,1.304,0.55
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2011-12,GS,3,0,0,0,1,0,2.1,0.6,-,1.294,0.58
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2012-13,GS,15,0,2,0,3,0,2.2,0.5,-,1.287,0.55
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2013-14,GS,28,4,1,0,0,0,2.3,0.4,-,1.354,0.57
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2014-15,GS,23,0,0,0,2,0,2.5,0.7,-,1.417,0.59
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2015-16,GS,15,2,0,0,3,0,2.0,0.6,-,1.486,0.63
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2016-17,GS,9,0,1,0,4,0,2.2,0.6,-,1.385,0.58
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2017-18,GS,5,0,1,1,2,0,2.0,0.5,-,1.558,0.62
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2018-19,GS,3,0,0,0,2,0,1.9,0.5,-,1.404,0.60
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2019-20,GS,1,0,0,0,1,0,2.1,0.3,-,1.268,0.48
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2020-21,GS,8,0,0,0,1,0,1.7,0.4,-,1.476,0.61
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2021-22,GS,12,2,0,0,1,0,2.0,0.4,-,1.332,0.55
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,2022-23,GS,12,1,0,1,5,0,2.0,0.3,-,1.455,0.61
https://www.espn.com/nba/player/stats/_/id/3975/stephen-curry,Career,,151,10,11,2,25,0,2.1,0.5,-,1.387,0.58
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2003-04,CLE,12,0,0,0,2,0,1.7,0.5,-,1.109,0.44
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2004-05,CLE,25,4,1,0,4,0,2.2,0.7,-,1.292,0.50
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2005-06,CLE,21,5,0,0,0,0,2.0,0.5,-,1.359,0.51
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2006-07,CLE,16,1,1,0,2,2,1.9,0.5,-,1.315,0.51
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2007-08,CLE,31,7,1,0,2,0,2.1,0.5,-,1.370,0.52
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2008-09,CLE,29,7,0,0,10,0,2.4,0.6,-,1.428,0.53
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2009-10,CLE,31,4,0,0,4,0,2.5,0.5,-,1.478,0.54
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2010-11,MIA,31,4,0,0,7,0,2.0,0.4,-,1.422,0.54
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2011-12,MIA,23,0,0,0,3,0,1.8,0.5,-,1.440,0.55
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2012-13,MIA,36,4,0,0,6,1,2.4,0.6,-,1.504,0.60
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2013-14,MIA,12,1,1,0,5,1,1.8,0.4,-,1.544,0.61
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2014-15,CLE,22,2,0,0,5,1,1.9,0.4,-,1.363,0.53
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2015-16,CLE,28,3,0,0,4,0,2.1,0.4,-,1.356,0.55
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2016-17,CLE,42,13,2,0,4,0,2.1,0.3,-,1.454,0.59
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2017-18,CLE,52,18,0,1,5,0,2.2,0.3,-,1.425,0.59
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2018-19,LAL,32,8,0,0,0,0,2.3,0.4,-,1.374,0.56
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2019-20,LAL,46,13,0,0,2,0,2.6,0.3,-,1.303,0.55
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2020-21,LAL,18,5,0,0,2,1,2.1,0.3,-,1.368,0.58
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2021-22,LAL,21,6,0,1,1,2,1.8,0.4,-,1.388,0.59
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,2022-23,LAL,18,2,0,0,1,0,2.1,0.3,-,1.304,0.55
https://www.espn.com/nba/player/stats/_/id/1966/lebron-james,Career,,546,107,6,2,69,8,2.1,0.4,-,1.378,0.54
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2007-08,SEA,1,0,0,0,0,0,0.8,0.3,-,1.189,0.45
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2008-09,OKC,15,0,0,0,1,0,0.9,0.4,-,1.346,0.51
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2009-10,OKC,25,0,1,0,3,0,0.9,0.4,-,1.482,0.51
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2010-11,OKC,14,0,1,0,3,0,1.0,0.4,-,1.405,0.51
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2011-12,OKC,18,0,0,0,5,0,0.9,0.4,-,1.426,0.55
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2012-13,OKC,19,3,1,1,12,1,1.3,0.4,-,1.591,0.56
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2013-14,OKC,27,3,0,0,16,0,1.6,0.4,-,1.536,0.56
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2014-15,OKC,5,0,0,0,4,1,1.5,0.3,-,1.469,0.58
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2015-16,OKC,27,1,1,0,8,0,1.4,0.3,-,1.469,0.57
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2016-17,GS,23,1,0,0,8,1,2.2,0.5,-,1.516,0.59
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2017-18,GS,15,2,0,5,14,0,1.8,0.2,-,1.466,0.59
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2018-19,GS,16,2,1,1,17,0,2.0,0.3,-,1.466,0.57
https://www.espn.com/nba/player/stats/_/id/3202/kevin-durant,2020-21,BKN,12,0,0,0,1,0,1.6,0.2,-,1.564,0.61
